year,dept_name,total_salary,employee_count
1985,Customer Service,42295307,973
1985,Development,245395149,5092
1985,Finance,62564756,1041
1985,Human Resources,43674210,1001
1985,Marketing,62281885,1040
1985,Production,200145135,4127
1985,Quality Management,44155350,977
1985,Research,49623662,1039
1985,Sales,214902207,3090
1986,Customer Service,96865995,2167
1986,Development,513160070,10436
1986,Finance,129125235,2112
1986,Human Resources,93831328,2100
1986,Marketing,128867590,2111
1986,Production,423520181,8582
1986,Quality Management,95828191,2067
1986,Research,107350966,2185
1986,Sales,449875383,6382
1987,Customer Service,151745021,3333
1987,Development,791569938,15806
1987,Finance,195800702,3175
1987,Human Resources,147170984,3226
1987,Marketing,196006651,3167
1987,Production,647919323,12906
1987,Quality Management,151788820,3220
1987,Research,164728237,3280
1987,Sales,684268010,9610
1988,Customer Service,212551230,4525
1988,Development,1073757358,20982
1988,Finance,265786418,4247
1988,Human Resources,200062002,4305
1988,Marketing,267898171,4267
1988,Production,885008228,17227
1988,Quality Management,210285222,4352
1988,Research,224236018,4412
1988,Sales,924440791,12797
1989,Customer Service,273011940,5704
1989,Development,1364604519,26271
1989,Finance,338587450,5339
1989,Human Resources,253753190,5349
1989,Marketing,339781899,5336
1989,Production,1117449849,21427
1989,Quality Management,268683243,5472
1989,Research,287500506,5529
1989,Sales,1166575461,15966
1990,Customer Service,337068905,6874
1990,Development,1653780675,31251
1990,Finance,410262010,6361
1990,Human Resources,308360997,6386
1990,Marketing,415980457,6414
1990,Production,1354674184,25580
1990,Quality Management,328826314,6553
1990,Research,351932172,6629
1990,Sales,1412055857,19068
1991,Customer Service,406409296,8056
1991,Development,1938677241,36033
1991,Finance,477664755,7300
1991,Human Resources,365521098,7418
1991,Marketing,492632203,7502
1991,Production,1594769441,29537
1991,Quality Management,391614409,7639
1991,Research,419693711,7788
1991,Sales,1649139280,21973
1992,Customer Service,476843286,9249
1992,Development,2244289333,40914
1992,Finance,549194808,8263
1992,Human Resources,421555851,8376
1992,Marketing,575993861,8610
1992,Production,1847313976,33551
1992,Quality Management,453408573,8650
1992,Research,488011703,8890
1992,Sales,1895639064,24959
1993,Customer Service,551893883,10460
1993,Development,2529769380,45458
1993,Finance,618063145,9199
1993,Human Resources,477053559,9298
1993,Marketing,657906310,9738
1993,Production,2089739925,37383
1993,Quality Management,517585471,9721
1993,Research,558007304,9991
1993,Sales,2128186617,27748
1994,Customer Service,626488135,11642
1994,Development,2820206237,49850
1994,Finance,681506800,10049
1994,Human Resources,538442553,10331
1994,Marketing,736740727,10752
1994,Production,2333215421,41071
1994,Quality Management,580938319,10709
1994,Research,628933529,11108
1994,Sales,2374963147,30589
1995,Customer Service,704164166,12795
1995,Development,3111955263,54188
1995,Finance,749352218,10889
1995,Human Resources,597357204,11236
1995,Marketing,812037505,11670
1995,Production,2585364289,44839
1995,Quality Management,645719862,11694
1995,Research,696755648,12110
1995,Sales,2609285587,33269
1996,Customer Service,790419870,14027
1996,Development,3412473825,58387
1996,Finance,821001461,11788
1996,Human Resources,656534823,12140
1996,Marketing,897076956,12716
1996,Production,2841487747,48461
1996,Quality Management,715933825,12744
1996,Research,772026981,13184
1996,Sales,2831943952,35636
1997,Customer Service,877996185,15323
1997,Development,3680396465,62219
1997,Finance,882419002,12565
1997,Human Resources,710898886,12922
1997,Marketing,976094602,13690
1997,Production,3086441523,52003
1997,Quality Management,779510320,13696
1997,Research,844495387,14196
1997,Sales,3044520648,37988
1998,Customer Service,965452367,16542
1998,Development,3943909275,65771
1998,Finance,941569806,13257
1998,Human Resources,764459218,13648
1998,Marketing,1060665786,14698
1998,Production,3322464827,55238
1998,Quality Management,848572083,14714
1998,Research,918591292,15190
1998,Sales,3251028181,40165
1999,Customer Service,1055833477,17711
1999,Development,4190682907,68922
1999,Finance,994731696,13868
1999,Human Resources,816129101,14331
1999,Marketing,1143765687,15686
1999,Production,3553681565,58186
1999,Quality Management,913410737,15599
1999,Research,996778269,16225
1999,Sales,3453565674,42322
2000,Customer Service,1111793101,17879
2000,Development,4206605140,66753
2000,Finance,992656152,13448
2000,Human Resources,825032223,13939
2000,Marketing,1168310519,15492
2000,Production,3600828928,56929
2000,Quality Management,934987263,15357
2000,Research,1021866686,16120
2000,Sales,3435721445,40984
2001,Customer Service,1253950218,17913
2001,Development,4528196018,64178
2001,Finance,1061107246,12938
2001,Human Resources,895752622,13410
2001,Marketing,1280055922,15278
2001,Production,3915196849,55312
2001,Quality Management,1024813250,15034
2001,Research,1124500961,15880
2001,Sales,3663662395,39410
2002,Customer Service,501706856,10505
2002,Development,1725117786,36132
2002,Finance,411867997,7435
2002,Human Resources,342568435,7573
2002,Marketing,494258738,8770
2002,Production,1510551529,31533
2002,Quality Management,397586318,8641
2002,Research,447267694,9294
2002,Sales,1400512094,22358
